hour_number,session_length_hours,total_number_of_orders,DA_price,Ask_mean_price,Ask_price_std,Bid_mean_price,Bid_price_std,Anomaly,Anomaly_score
7,17.820315833333336,3180,65.48,46.23148427672956,5.8208957582308,37.95114779874213,7.001543102970508,1,0.14696376158623492
8,18.820576944444447,2292,88.5,43.33837260034903,8.550685194651681,30.5749127399651,7.200595781480212,1,0.14340093291937045
9,19.820089444444445,1255,60.08,34.541274900398406,8.953869903685261,23.760438247011955,8.058631778380548,1,0.13676628693748216
10,20.825724166666667,1478,53.72,30.81390392422192,7.784175316525206,22.232503382949933,7.95078921311356,1,0.14019961167218925
11,21.800668055555555,1831,32.42,25.16175314036046,13.501959409968094,13.613107591480066,7.132403016979232,1,0.13576250487574348
12,22.82541388888889,1176,30.36,22.83327380952381,7.173687671272323,16.26809523809524,9.758161290583878,1,0.13144090442071865
13,23.838672222222225,2055,22.93,29.095041362530417,13.532242653112917,20.382739659367395,12.551573239503492,1,0.13266214377075014
14,24.7990875,2586,20.53,38.88833720030936,19.073587171833527,23.215916473317865,13.472956006402878,1,0.1357863863333737
15,25.84327638888889,2362,20.18,32.20903048264184,12.252283464617271,23.11756138865368,11.58644108094977,1,0.1300493281364451
16,26.84750138888889,2889,20.27,54.72957078573901,9.270561803860735,39.73831429560402,9.499299902957924,1,0.13497059210438178
17,27.15446111111111,2293,23.5,78.76334496293066,8.061582159402617,54.64439162668992,14.951493453516296,1,0.13215894072930218
18,28.17591861111111,2416,42.42,130.37286009933774,6.240291332608074,110.69951158940398,8.561491134410298,1,0.12991962481509672
19,29.138155833333336,5245,49.1,134.6581086749285,15.634871543091284,121.45707721639654,11.92789266051198,1,0.12179570446507199
20,30.172969166666665,3526,99.61,165.1526999432785,69.29446293496925,131.07285025524675,24.867693822386368,1,0.11776037698668324
21,31.17195277777778,3617,114.81,130.29228089576998,18.949897214698147,114.15599668233342,9.45555032947183,1,0.11669762521812821
22,8.112631944444445,5004,109.19,122.54180255795364,27.13060196770996,99.0555815347722,8.31947429889538,1,0.07557003846408022
23,9.133153888888888,5011,98.49,114.29961484733587,17.786764027281823,84.26532428656955,54.40931711656951,1,0.05296329755246876
0,10.187726666666666,4270,101.55,106.80074473067916,18.005257978771557,89.60508899297423,13.546499866599817,1,0.10897408361381988
1,11.119965277777778,5069,94.9,111.94129414085616,20.17360945227109,88.50743539159598,2.928413760846313,1,0.10722983987471679
2,12.10385388888889,2231,92.58,101.7389108023308,27.293896512590912,76.22340206185567,63.53756979434654,1,0.09544849354814133
3,12.392668333333331,3443,90.3,115.3138629102527,14.211665601541736,85.81366540807434,33.04771171336088,1,0.1260370155489473
4,13.991346944444444,1239,90.24,95.50575464083938,20.64499385174183,84.75602905569008,6.96651509167819,1,0.14610946642335032
5,14.91869638888889,3099,90.54,96.110235559858,13.244645583993222,85.08357212003872,14.035986191875237,1,0.1576405096578234
6,16.186465555555554,2634,94.34,92.91271070615036,15.59410456938002,79.27266514806378,5.362138813833084,1,0.15645147639030477
7,17.141431944444445,3998,92.49,88.74633066533265,16.14468784079837,76.75977238619309,6.013695795936339,1,0.15635008812068502
8,18.167740277777774,3343,91.33,83.458399641041,19.943897633714464,52.82878552198624,65.5809525477055,1,0.1091840105334218
9,19.08094138888889,2425,88.54,70.081006185567,15.74313885528791,52.33999175257731,51.64762550891864,1,0.12729125745129688
10,20.174454166666667,3203,80.1,64.81572588198564,14.572997170433334,53.106209803309405,10.216258144589595,1,0.15991026126856278
11,21.08595,3075,74.67,52.11227642276423,17.710185111680616,41.934751219512194,11.821000710702725,1,0.16072102948527128
12,22.084829722222224,3122,65.01,49.30456117873158,18.47010629665355,39.556780909673286,10.243933051019924,1,0.15742947699147652
13,23.010626666666663,6230,58.91,66.2323772070626,13.40171923742597,46.68423916532905,6.457446754051987,1,0.14057332942304046
14,24.165336944444444,3080,58.04,74.61813636363635,14.230679120278658,63.92231493506493,12.554576735606611,1,0.15801557143655848
15,25.191210833333333,3741,65.2,100.80291098636728,14.77605832505736,80.8323656776263,14.796779147685774,1,0.15905503752395161
16,26.084359166666665,1802,77.7,114.77135960044394,20.68728489532531,92.20799667036626,15.927671670940809,1,0.15768135640188952
17,27.121173611111114,3476,99.16,135.0769476409666,30.863980676950696,112.1989672036824,14.995741787839547,1,0.15380107867114062
18,28.184395555555557,4339,107.62,130.6882645770915,29.22508099333366,29.557918875316894,153.88970030843723,1,0.03058053744278988
19,29.12010305555556,2809,123.1,111.19384122463512,23.603325362781707,-27.183015307938767,165.49885691366413,1,0.006061994917413993
20,30.12394888888889,4538,128.99,122.5944601145879,20.955434792149557,73.0943102688409,79.99197324440387,1,0.062490374098203294
21,30.918126666666662,2729,109.23,90.64116159765484,24.326388348755717,19.1341113961158,126.36540621344535,1,0.018238810487481993
22,7.976764999999999,1421,99.08,84.31144264602395,9.234219883724274,73.13095707248416,14.301519516884138,1,0.0928921930951967
23,9.022008611111112,1261,87.34,83.44616970658207,15.761468759606942,70.82378271213324,8.667350772288575,1,0.09498094714487132
0,9.969066666666668,1303,89.1,77.0768534151957,10.405058053761753,68.86503453568689,8.130042057122024,1,0.11039469089975279
1,10.327096388888888,1585,88.09,80.48874447949527,18.78359026204173,68.76799369085174,8.811165918073428,1,0.12397544499309843
2,11.548716666666666,2389,79.07,95.71676015069066,25.877453855788147,71.86406864796986,15.374936952285127,1,0.13631582736485204
3,12.864103888888888,2576,79.08,99.285,24.12143152782306,79.56466226708075,12.604093320409108,1,0.14729118818661852
4,13.95481138888889,2362,75.06,87.96590177815409,15.596324656497012,73.05475021168502,17.784759682380514,1,0.1460812436873617
5,14.889604722222222,2260,84.0,84.82588495575222,16.111820767705957,68.53019911504425,18.23269804267001,1,0.15437627304236373
6,15.869226944444444,2085,75.1,81.49546762589928,16.11718829915369,68.51732853717027,15.682298938917532,1,0.1519129306440548
7,16.610615,1713,68.61,71.48615294804436,16.95244206672474,58.95419731465265,16.127852502918792,1,0.1514992603322568
8,17.929537222222223,2179,67.46,55.01214318494722,18.270834342016503,46.54271684258834,10.613234225857658,1,0.14983282905870599
9,19.04386694444445,2317,61.11,52.32447561501942,14.569801245318924,37.77295640914976,10.5130898514558,1,0.1505065043123427
10,19.718850555555555,9252,49.09,45.04262537829658,10.559620144437352,21.78083333333333,6.640340550957335,1,0.07541163602782958
11,20.99019,1935,43.85,19.8955503875969,19.99069393095641,0.3846563307493547,12.747272294680783,1,0.1355128391480971
12,21.955561944444444,2742,33.92,18.80390590809628,25.015172676117025,-0.5568198395331881,11.143187697300922,1,0.13340196605857774
13,23.028692222222222,3344,12.07,6.756220095693781,14.599182187951063,-2.677362440191388,5.6643046223818905,1,0.12320814297053584
14,23.95879194444444,1591,11.96,21.863249528598367,24.632146507608457,3.0316907605279697,8.644591480024495,1,0.12340264676942059
15,24.87688027777778,1995,9.09,30.7926365914787,6.236234450863986,25.684591478696746,5.741330481527948,1,0.1284048672456794
16,25.860700555555557,2159,12.1,66.37886058360353,18.81202293120413,52.59417786012042,9.823180301238036,1,0.13259356663371064
17,27.02776111111111,1178,35.17,74.43484719864176,11.050450269835007,64.24901528013582,7.384308736238334,1,0.135604635341526
18,27.279231666666664,688,62.03,83.67893895348837,18.507593410956044,67.21377906976744,9.399147037272362,1,0.1337218142320738
19,28.869198055555557,1415,72.61,79.75370318021201,8.7666755384639,73.77077738515901,5.368850275889579,1,0.13930043362038969
20,29.888847777777777,911,76.85,74.20465422612514,22.244347563688063,51.65634467618001,12.70414050908106,1,0.12005084632435914
21,31.052155555555554,5657,77.15,89.59500441930352,38.96540754551755,20.144313240233338,19.8474629672682,1,0.08242717613733713
22,8.841010833333334,6139,65.1,60.14050659716565,29.092993759863397,27.17897703208992,7.564715023583865,1,0.053824739616470774
23,9.860942777777778,5795,55.4,33.953948231233824,13.331212865400827,21.151616911130283,7.820228535284004,1,0.05567376113598571
